 270.00000000 -572.28171749 
 266.89655172 -572.28486728 
 263.79310345 -572.31117281 
 260.68965517 -572.31196600 
 257.58620690 -572.31298392 
 254.48275862 -572.31422988 
 251.37931034 -572.31570715 
 248.27586207 -572.31741737 
 245.17241379 -572.31936082 
 242.06896552 -572.32153630 
 238.96551724 -572.32394095 
 235.86206897 -572.32656962 
 232.75862069 -572.32940904 
 229.65517241 -572.33224590 
 226.55172414 -572.33496349 
 223.44827586 -572.33754999 
 220.34482759 -572.33999595 
 217.24137931 -572.34229497 
 214.13793103 -572.34444148 
 211.03448276 -572.34642688 
 207.93103448 -572.34823917 
 204.82758621 -572.34986659 
 201.72413793 -572.35130081 
 198.62068966 -572.35253883 
 195.51724138 -572.35358426 
 192.41379310 -572.35444393 
 189.31034483 -572.35511590 
 186.20689655 -572.35559176 
 183.10344828 -572.35586937 
 180.00000000 -572.35595913 
