 270.00000000 -572.31556816 
 273.10344828 -572.31517207 
 276.20689655 -572.31473120 
 279.31034483 -572.31424426 
 282.41379310 -572.31371078 
 285.51724138 -572.31312845 
 288.62068966 -572.31249874 
 291.72413793 -572.31181865 
 294.82758621 -572.31109083 
 297.93103448 -572.31031844 
 301.03448276 -572.30950530 
 304.13793103 -572.30865609 
 307.24137931 -572.30777623
 310.34482759 -572.30687197 
 313.44827586 -572.30595023 
 316.55172414 -572.30501840 
 319.65517241 -572.30408431 
 322.75862069 -572.30315578 
 325.86206897 -572.30224021 
 328.96551724 -572.30134403 
 332.06896552 -572.30047247 
 335.17241379 -572.29962963 
 338.27586207 -572.29881879 
 341.37931034 -572.29804272 
 344.48275862 -572.29730382 
 347.58620690 -572.29660420 
 350.68965517 -572.29594539 
 353.79310345 -572.29532862 
 356.89655172 -572.29475524 
 360.00000000 -572.29422602 
